iter	Passed	Remaining
1121	60844	4229
1122	60901	4175
1123	60947	4120
1124	60992	4066
1125	61048	4012
1126	61104	3957
1127	61164	3904
1128	61212	3849
1129	61266	3795
1130	61321	3741
1131	61371	3686
1132	61423	3632
1133	61466	3577
1134	61525	3523
1135	61570	3468
1136	61621	3414
1137	61667	3359
1138	61720	3305
1139	61781	3251
1140	61841	3197
1141	61898	3143
1142	61955	3089
1143	62002	3035
1144	62063	2981
1145	62107	2926
1146	62165	2872
1147	62221	2818
1148	62270	2763
1149	62332	2710
1150	62386	2655
1151	62443	2601
1152	62501	2547
1153	62547	2493
1154	62597	2438
1155	62647	2384
1156	62701	2330
1157	62749	2275
1158	62807	2221
1159	62868	2167
1160	62918	2113
1161	62973	2059
1162	63020	2004
1163	63076	1950
1164	63136	1896
1165	63200	1842
1166	63256	1788
1167	63315	1734
1168	63356	1680
1169	63422	1626
1170	63473	1571
1171	63531	1517
1172	63584	1463
1173	63626	1409
1174	63688	1355
1175	63746	1300
1176	63794	1246
1177	63852	1192
1178	63912	1138
1179	63962	1084
1180	64024	1030
1181	64083	975
1182	64143	921
1183	64211	867
1184	64262	813
1185	64318	759
1186	64381	705
1187	64432	650
1188	64480	596
1189	64548	542
1190	64598	488
1191	64643	433
1192	64692	379
1193	64742	325
1194	64793	271
1195	64852	216
1196	64906	162
1197	64950	108
1198	65010	54
1199	65065	0
